,Time,Latitude,Longitude,CO2_2014_(ppm)
249,2014-09-09,-41,175,396.1981
250,2014-09-09,-41,175,395.61298
251,2014-09-09,-41,175,395.18893
252,2014-09-09,-41,175,395.54065
253,2014-09-09,-41,175,394.8805
254,2014-09-09,-41,175,395.13605
255,2014-09-09,-41,175,394.12695
256,2014-09-09,-41,175,394.61795
257,2014-09-09,-41,175,395.72806
258,2014-09-09,-41,175,395.4141
259,2014-09-09,-41,175,396.1625
260,2014-09-09,-41,175,396.95895
261,2014-09-09,-41,175,396.64755
262,2014-09-09,-41,175,396.1544
263,2014-09-09,-41,175,395.93134
264,2014-09-09,-41,175,395.77396
265,2014-09-09,-41,175,396.27554
266,2014-09-09,-41,175,395.99628
267,2014-09-09,-41,175,395.3923
268,2014-09-09,-41,175,395.9928
269,2014-09-09,-41,175,395.40317
270,2014-09-09,-41,175,395.12985
271,2014-09-09,-41,175,395.23788
272,2014-09-09,-41,175,394.67404
273,2014-09-09,-41,175,395.4904
274,2014-09-09,-41,175,396.33267
275,2014-09-09,-41,175,395.7974
276,2014-09-09,-41,175,394.4151
277,2014-09-09,-41,175,395.1887
278,2014-09-09,-41,175,395.4267
279,2014-09-09,-41,175,394.8228
280,2014-09-09,-41,175,394.90085
281,2014-09-09,-41,175,396.28003
282,2014-09-09,-41,175,396.41312
283,2014-09-09,-41,175,394.88385
284,2014-09-09,-41,175,394.94125
285,2014-09-09,-41,175,396.2816
286,2014-09-09,-41,175,395.51447
287,2014-09-09,-41,175,395.27155
288,2014-09-09,-41,175,395.2923
289,2014-09-09,-41,175,396.41202
290,2014-09-09,-41,175,395.84857
291,2014-09-09,-41,175,395.68268
292,2014-09-09,-41,175,395.63193
293,2014-09-09,-41,175,396.18454
294,2014-09-09,-41,175,396.14285
295,2014-09-09,-41,175,395.54437
296,2014-09-09,-41,175,395.45013
297,2014-09-09,-41,175,395.48196
298,2014-09-09,-41,175,396.28915
299,2014-09-09,-41,175,394.58203
300,2014-09-09,-41,175,392.96475
301,2014-09-09,-41,175,394.9771
302,2014-09-09,-40,175,397.58243
303,2014-09-09,-40,175,396.63306
304,2014-09-09,-40,175,395.63416
305,2014-09-09,-40,175,396.90457
306,2014-09-09,-40,175,397.45877
307,2014-09-09,-40,175,396.54208
308,2014-09-09,-40,175,396.4814
309,2014-09-09,-40,175,397.57532
310,2014-09-09,-40,175,396.52
311,2014-09-09,-40,175,397.4028
312,2014-09-09,-40,175,396.82236
313,2014-09-09,-40,175,397.733
314,2014-09-09,-40,175,396.61353
315,2014-09-09,-40,175,396.4859
316,2014-09-09,-40,175,396.86987
317,2014-09-09,-40,175,396.41095
318,2014-09-09,-40,175,396.02942
319,2014-09-09,-40,175,396.19113
320,2014-09-09,-40,175,396.39444
321,2014-09-09,-40,175,396.33783
322,2014-09-09,-40,175,395.90985
323,2014-09-09,-40,175,395.78775
324,2014-09-09,-40,175,396.87802
325,2014-09-09,-40,175,396.21207
326,2014-09-09,-40,175,397.0002
327,2014-09-09,-40,175,395.51282
328,2014-09-09,-40,175,397.24902
329,2014-09-09,-40,175,396.0481
330,2014-09-09,-40,175,396.93292
331,2014-09-09,-40,175,396.5868
332,2014-09-09,-40,175,397.40234
333,2014-09-09,-40,175,397.15814
334,2014-09-09,-40,175,395.0713
335,2014-09-09,-40,175,395.92453
336,2014-09-09,-40,175,396.86517
337,2014-09-09,-40,175,396.6975
338,2014-09-09,-40,175,396.18796
339,2014-09-09,-40,175,396.01468
340,2014-09-09,-40,175,397.93622
341,2014-09-09,-40,175,397.1579
342,2014-09-09,-40,175,397.21948
343,2014-09-09,-40,175,395.31042
344,2014-09-09,-40,175,395.67642
345,2014-09-09,-40,175,397.32404
346,2014-09-09,-40,175,396.98322
347,2014-09-09,-40,175,396.0756
348,2014-09-09,-40,175,395.70697
349,2014-09-09,-40,175,397.95282
350,2014-09-09,-40,175,397.01315
351,2014-09-09,-40,175,396.05515
352,2014-09-09,-40,175,395.89618
353,2014-09-09,-40,175,397.27673
354,2014-09-09,-40,175,396.3412
355,2014-09-09,-40,175,396.73438
356,2014-09-09,-40,175,397.47537
